label,message
ham,i tot u reach liao he said t shirt
ham,customer place i wil cal u sir
spam,urgent please call from your landline your complimentary lux costa del sol holiday or cash await collection ppm sae t cs james
ham,hello lover how goes that new job are you there now are you happy do you think of me i wake my slave and send you a teasing kiss from across the sea
spam,you can donate to unicef s asian tsunami disaster support fund by texting donate to will be added to your next bill
ham,yep i do like the pink furniture tho
ham,did u see what i posted on your facebook
ham,okie
ham,a guy who gets used but is too dumb to realize it
ham,aight lemme know what s up
ham,appt is at lt time gt am not my fault u don t listen i told u twice
ham,i ll text you when i drop x off
ham,im late tellmiss im on my way
ham,painful words i thought being happy was the most toughest thing on earth but the toughest is acting happy with all unspoken pain inside
ham,pls call me da what happen
ham,finally it has happened aftr decades beer is now cheaper than petrol the goverment expects us to drink but don t drive
ham,bring it if you got it
ham,are you angry with me what happen dear
ham,i am real baby i want to bring out your inner tigress
ham,oh all have to come ah
ham,u horrible gal u knew dat i was going out wif him yest n u still come n ask me
ham,watching tv lor nice one then i like lor
ham,ok which your another number
spam,buy space invaders a chance win orig arcade game console press for games arcade std wap charge see co uk games terms settings no purchase
ham,i m in inside office still filling forms don know when they leave me
ham,no current and food here i am alone also
ham,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune
spam,fantasy football is back on your tv go to sky gamestar on sky active and play dream team scoring starts on saturday so register now sky opt out to
ham,but pls dont play in others life
ham,the fact that you re cleaning shows you know why i m upset your priority is constantly what i want to do not what i need to do
ham,i have docs appointments next week i m tired of them shoving stuff up me ugh why couldn t i have had a normal body
ham,not yet chikku going to room nw i m in bus
ham,babe i m answering you can t you see me maybe you d better reboot ym i got the photo it s great
ham,ladies first and genus second k
ham,apo all other are mokka players only
spam,had your mobile months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on
ham,my sister in law hope you are having a great month just saying hey abiola
ham,symptoms when u are in love u like listening songs u get stopped where u see the name of your beloved u won t get angry when your
ham,ok i am a gentleman and will treat you with dignity and respect
ham,u having lunch alone i now so bored
ham,da my birthdate in certificate is in april but real date is today but dont publish it i shall give you a special treat if you keep the secret any way thanks for the wishes
ham,i m nt goin got somethin on unless they meetin dinner lor haha i wonder who will go tis time
ham,boy you best get yo ass out here quick
ham,maybe i could get book out tomo then return it immediately or something
ham,how are you my love are you with your brother time to talk english with him grins say hey muhommad penny says hello from across the sea
ham,it is a good thing i m now getting the connection to bw
ham,once free call me sir
ham,s but he had some luck catches put down
ham,is that what time you want me to come
ham,i m gonna say no sorry i would but as normal am starting to panic about time sorry again are you seeing on tuesday
ham,k fyi x has a ride early tomorrow morning but he s crashing at our place tonight
ham,dun wan to watch infernal affair
ham,gud swt drms take care
ham,you know wot people wear t shirts jumpers hat belt is all we know we r at cribbs
ham,good afternon my love how are today i hope your good and maybe have some interviews i wake and miss you babe a passionate kiss from across the sea
ham,when did you get to the library
ham,hey kate hope ur ok will give u a buz wedlunch go outsomewhere adrink in town cud go a bit ppl fromwrk will bthere love petexxx
ham,haf u eaten wat time u wan me come
ham,yeah there s barely enough room for the two of us x has too many fucking shoes sorry man see you later
