,label,message
0,ham,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat
1,ham,ok lar joking wif u oni
2,spam,free entry in a wkly comp to win fa cup final tkts may text fa to to receive entry question std txt rate t c s apply s
3,ham,u dun say so early hor u c already then say
4,ham,nah i don t think he goes to usf he lives around here though
5,spam,freemsg hey there darling it s been week s now and no word back i d like some fun you up for it still tb ok xxx std chgs to send to rcv
6,ham,even my brother is not like to speak with me they treat me like aids patent
7,ham,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune
8,spam,winner as a valued network customer you have been selected to receivea prize reward to claim call claim code valid hours only
9,spam,had your mobile months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on
10,ham,i m gonna be home soon and i don t want to talk about this stuff anymore tonight k i ve cried enough today
11,spam,six chances to win cash from to pounds txt and send to cost day tsandcs apply reply hl info
12,spam,urgent you have won a week free membership in our prize jackpot txt the word claim to no t c www dbuk net lccltd pobox
13,ham,i ve been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times
14,ham,i have a date on sunday with will
15,spam,xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here http wap xxxmobilemovieclub com n qjkgighjjgcbl
16,ham,oh k i m watching here
17,ham,eh u remember how spell his name yes i did he v naughty make until i v wet
18,ham,fine if that s the way u feel that s the way its gota b
19,spam,england v macedonia dont miss the goals team news txt ur national team to eg england to try wales scotland
20,ham,is that seriously how you spell his name
21,ham,i m going to try for months ha ha only joking
22,ham,so pay first lar then when is da stock comin
23,ham,aft i finish my lunch then i go str down lor ard smth lor u finish ur lunch already
24,ham,ffffffffff alright no way i can meet up with you sooner
25,ham,just forced myself to eat a slice i m really not hungry tho this sucks mark is getting worried he knows i m sick when i turn down pizza lol
26,ham,lol your always so convincing
27,ham,did you catch the bus are you frying an egg did you make a tea are you eating your mom s left over dinner do you feel my love
28,ham,i m back amp we re packing the car now i ll let you know if there s room
29,ham,ahhh work i vaguely remember that what does it feel like lol
30,ham,wait that s still not all that clear were you not sure about me being sarcastic or that that s why x doesn t want to live with us
31,ham,yeah he got in at and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till but we won t go there not doing too badly cheers you
32,ham,k tell me anything about you
33,ham,for fear of fainting with the of all that housework you just did quick have a cuppa
34,spam,thanks for your subscription to ringtone uk your mobile will be charged month please confirm by replying yes or no if you reply no you will not be charged
35,ham,yup ok i go home look at the timings then i msg again xuhui going to learn on may too but her lesson is at
36,ham,oops i ll let you know when my roommate s done
37,ham,i see the letter b on my car
38,ham,anything lor u decide
39,ham,hello how s you and how did saturday go i was just texting to see if you d decided to do anything tomo not that i m trying to invite myself or anything
40,ham,pls go ahead with watts i just wanted to be sure do have a great weekend abiola
41,ham,did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy
42,spam,rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now for delivery tomorrow
43,ham,who are you seeing
44,ham,great i hope you like your man well endowed i am lt gt inches
45,ham,no calls messages missed calls
46,ham,didn t you get hep b immunisation in nigeria
47,ham,fair enough anything going on
48,ham,yeah hopefully if tyler can t do it i could maybe ask around a bit
49,ham,u don t know how stubborn i am i didn t even want to go to the hospital i kept telling mark i m not a weak sucker hospitals are for weak suckers
50,ham,what you thinked about me first time you saw me in class
51,ham,a gram usually runs like lt gt a half eighth is smarter though and gets you almost a whole second gram for lt gt
52,ham,k fyi x has a ride early tomorrow morning but he s crashing at our place tonight
53,ham,wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave i m sorry i didn t and don t have more to give i m sorry i offered i m sorry your room was so embarassing
54,spam,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv
55,ham,do you know what mallika sherawat did yesterday find out now lt url gt
56,spam,congrats year special cinema pass for is yours call now c suprman v etc all free dont miss out
57,ham,sorry i ll call later in meeting
58,ham,tell where you reached
59,ham,yes gauti and sehwag out of odi series
60,ham,your gonna have to pick up a burger for yourself on your way home i can t even move pain is killing me
61,ham,ha ha ha good joke girls are situation seekers
62,ham,its a part of checking iq
63,ham,sorry my roommates took forever it ok if i come by now
64,ham,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice
65,spam,as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a bonus prize call
66,ham,today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me
67,spam,urgent ur awarded a complimentary trip to eurodisinc trav aco or to claim txt dis to morefrmmob shracomorsglsuplt
68,spam,did you hear about the new divorce barbie it comes with all of ken s stuff
69,ham,i plane to give on this month end
70,ham,wah lucky man then can save money hee
71,ham,finished class where are you
72,ham,hi babe im at home now wanna do something xx
73,ham,k k where are you how did you performed
74,ham,u can call me now
75,ham,i am waiting machan call me once you free
76,ham,thats cool i am a gentleman and will treat you with dignity and respect
77,ham,i like you peoples very much but am very shy pa
78,ham,does not operate after lt gt or what
79,ham,its not the same here still looking for a job how much do ta s earn there
80,ham,sorry i ll call later
81,ham,k did you call me just now ah
82,ham,ok i am on the way to home hi hi
83,ham,you will be in the place of that man
84,ham,yup next stop
85,ham,i call you later don t have network if urgnt sms me
86,ham,for real when u getting on yo i only need more tickets and one more jacket and i m done i already used all my multis
87,ham,yes i started to send requests to make it but pain came back so i m back in bed double coins at the factory too i gotta cash in all my nitros
88,ham,i m really not up to it still tonight babe
89,ham,ela kano il download come wen ur free
90,ham,yeah do don t stand to close tho you ll catch something
91,ham,sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i haven t done any of y and that includes all my time sheets and that sorry
92,ham,smile in pleasure smile in pain smile when trouble pours like rain smile when hurts u smile becoz someone still loves to see u smiling
93,spam,please call our customer service representative on between as you have won a guaranteed cash or prize
94,ham,havent planning to buy later i check already lido only got show in e afternoon u finish work already
95,spam,your free ringtone is waiting to be collected simply text the password mix to to verify get usher and britney fml po box
96,ham,watching telugu movie wat abt u
97,ham,i see when we finish we have loads of loans to pay
98,ham,hi wk been ok on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for u
99,ham,i see a cup of coffee animation
100,ham,please don t text me anymore i have nothing else to say
101,ham,okay name ur price as long as its legal wen can i pick them up y u ave x ams xx
102,ham,i m still looking for a car to buy and have not gone driving test yet
103,ham,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune
104,ham,wow you re right i didn t mean to do that i guess once i gave up on boston men and changed my search location to nyc something changed cuz on my signin page it still says boston
105,ham,umma my life and vava umma love you lot dear
106,ham,thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable
107,ham,aight i ll hit you up when i get some cash
108,ham,how would my ip address test that considering my computer isn t a minecraft server
109,ham,i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes
110,ham,dont worry i guess he s busy
111,ham,what is the plural of the noun research
112,ham,going for dinner msg you after
113,ham,i m ok wif it cos i like try new things but i scared u dun like mah cos u said not too loud
114,spam,gent we are trying to contact you last weekends draw shows that you won a prize guaranteed call claim code valid only
115,ham,wa ur openin sentence very formal anyway i m fine too juz tt i m eatin too much n puttin on weight haha so anythin special happened
116,ham,as i entered my cabin my pa said happy b day boss i felt special she askd me lunch after lunch she invited me to her apartment we went there
117,spam,you are a winner u have been specially selected receive or a holiday flights inc speak to a live operator claim min
118,ham,goodo yes we must speak friday egg potato ratio for tortilla needed
119,ham,hmm my uncle just informed me that he s paying the school directly so pls buy food
120,spam,private your account statement for shows unredeemed bonus points to claim call identifier code expires
121,spam,urgent your mobile no was awarded bonus caller prize on this is our final try to contact u call from landline
122,ham,here is my new address apples pairs all that malarky
123,spam,todays voda numbers ending are selected to receive a award if you have a match please call quoting claim code standard rates app
124,ham,i am going to sao mu today will be done only at
125,ham,predict wat time ll finish buying
126,ham,good stuff will do
127,ham,just so that you know yetunde hasn t sent money yet i just sent her a text not to bother sending so its over you dont have to involve yourself in anything i shouldn t have imposed anything on you in the first place so for that i apologise
128,ham,are you there in room
129,ham,hey girl how r u hope u r well me an del r bak again long time no c give me a call sum time from lucyxx
130,ham,k k how much does it cost
131,ham,i m home
132,ham,dear will call tmorrow pls accomodate
133,ham,first answer my question
134,spam,sunshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to sp tyrone
135,spam,want get laid tonight want real dogging locations sent direct ur mob join the uk s largest dogging network bt txting gravel to nt msg
136,ham,i only haf msn it s yijue hotmail com
137,ham,he is there you call and meet him
138,ham,no no i will check all rooms befor activities
139,spam,you ll not rcv any more msgs from the chat svc for free hardcore services text go to if u get nothing u must age verify with yr network try again
140,ham,got c i lazy to type i forgot in lect i saw a pouch but like not v nice
141,ham,k text me when you re on the way
142,ham,sir waiting for your mail
143,ham,a swt thought nver get tired of doing little things lovable persons coz somtimes those little things occupy d biggest part in their hearts gud
144,ham,i know you are can you pls open the back
145,ham,yes see ya not on the dot
146,ham,whats the staff name who is taking class for us
147,spam,freemsg why haven t you replied to my text i m randy sexy female and live local luv to hear from u netcollex ltd per msg reply stop to end
148,ham,ummma will call after check in our life will begin from qatar so pls pray very hard
149,ham,k i deleted my contact that why
150,ham,sindu got job in birla soft
151,ham,the wine is flowing and i m i have nevering
152,ham,yup i thk cine is better cos no need go down plaza mah
153,ham,ok ur typical reply
154,ham,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune
155,ham,you are everywhere dirt on the floor the windows even on my shirt and sometimes when i open my mouth you are all that comes flowing out i dream of my world without you then half my chores are out too a time of joy for me lots of tv shows i ll see but i guess like all things you just must exist like rain hail and mist and when my time here is done you and i become one
156,ham,aaooooright are you at work
157,ham,i m leaving my house now
